"Code","CCS","CCS.Label"
"61420","1","Incision and excision of CNS"
"61421","1","Incision and excision of CNS"
"61422","1","Incision and excision of CNS"
"61423","1","Incision and excision of CNS"
"61424","1","Incision and excision of CNS"
"61425","1","Incision and excision of CNS"
"61426","1","Incision and excision of CNS"
"61427","1","Incision and excision of CNS"
"61428","1","Incision and excision of CNS"
"61429","1","Incision and excision of CNS"
"61430","1","Incision and excision of CNS"
"61431","1","Incision and excision of CNS"
"61432","1","Incision and excision of CNS"
"61433","1","Incision and excision of CNS"
"61434","1","Incision and excision of CNS"
"61435","1","Incision and excision of CNS"
"61436","1","Incision and excision of CNS"
"61437","1","Incision and excision of CNS"
"61438","1","Incision and excision of CNS"
"61439","1","Incision and excision of CNS"
"61440","1","Incision and excision of CNS"
"61470","1","Incision and excision of CNS"
"61471","1","Incision and excision of CNS"
"61472","1","Incision and excision of CNS"
"61473","1","Incision and excision of CNS"
"61474","1","Incision and excision of CNS"
"61475","1","Incision and excision of CNS"
"61476","1","Incision and excision of CNS"
"61477","1","Incision and excision of CNS"
"61478","1","Incision and excision of CNS"
"61479","1","Incision and excision of CNS"
"61480","1","Incision and excision of CNS"
"61481","1","Incision and excision of CNS"
"61482","1","Incision and excision of CNS"
"61483","1","Incision and excision of CNS"
"61484","1","Incision and excision of CNS"
"61485","1","Incision and excision of CNS"
"61486","1","Incision and excision of CNS"
"61487","1","Incision and excision of CNS"
"61488","1","Incision and excision of CNS"
"61489","1","Incision and excision of CNS"
"61490","1","Incision and excision of CNS"
"61510","1","Incision and excision of CNS"
"61511","1","Incision and excision of CNS"
"61512","1","Incision and excision of CNS"
"61513","1","Incision and excision of CNS"
"61514","1","Incision and excision of CNS"
"61515","1","Incision and excision of CNS"
"61516","1","Incision and excision of CNS"
"61518","1","Incision and excision of CNS"
"61519","1","Incision and excision of CNS"
"61520","1","Incision and excision of CNS"
"61521","1","Incision and excision of CNS"
"61522","1","Incision and excision of CNS"
"61523","1","Incision and excision of CNS"
"61524","1","Incision and excision of CNS"
"61525","1","Incision and excision of CNS"
"61526","1","Incision and excision of CNS"
"61527","1","Incision and excision of CNS"
"61528","1","Incision and excision of CNS"
"61529","1","Incision and excision of CNS"
"61530","1","Incision and excision of CNS"
"61534","1","Incision and excision of CNS"
"61535","1","Incision and excision of CNS"
"61536","1","Incision and excision of CNS"
"61537","1","Incision and excision of CNS"
"61538","1","Incision and excision of CNS"
"61539","1","Incision and excision of CNS"
"61540","1","Incision and excision of CNS"
"61541","1","Incision and excision of CNS"
"61542","1","Incision and excision of CNS"
"61543","1","Incision and excision of CNS"
"61544","1","Incision and excision of CNS"
"61545","1","Incision and excision of CNS"
"61556","1","Incision and excision of CNS"
"61557","1","Incision and excision of CNS"
"61570","1","Incision and excision of CNS"
"61571","1","Incision and excision of CNS"
"61572","1","Incision and excision of CNS"
"61573","1","Incision and excision of CNS"
"61574","1","Incision and excision of CNS"
"61575","1","Incision and excision of CNS"
"61576","1","Incision and excision of CNS"
"61582","1","Incision and excision of CNS"
"61583","1","Incision and excision of CNS"
"61584","1","Incision and excision of CNS"
"61585","1","Incision and excision of CNS"
"61586","1","Incision and excision of CNS"
"61587","1","Incision and excision of CNS"
"61588","1","Incision and excision of CNS"
"61589","1","Incision and excision of CNS"
"61590","1","Incision and excision of CNS"
"61591","1","Incision and excision of CNS"
"61592","1","Incision and excision of CNS"
"61593","1","Incision and excision of CNS"
"61594","1","Incision and excision of CNS"
"61595","1","Incision and excision of CNS"
"61596","1","Incision and excision of CNS"
"61598","1","Incision and excision of CNS"
"61599","1","Incision and excision of CNS"
"61600","1","Incision and excision of CNS"
"61601","1","Incision and excision of CNS"
"61602","1","Incision and excision of CNS"
"61603","1","Incision and excision of CNS"
"61604","1","Incision and excision of CNS"
"61605","1","Incision and excision of CNS"
"61606","1","Incision and excision of CNS"
"61607","1","Incision and excision of CNS"
"61608","1","Incision and excision of CNS"
"61615","1","Incision and excision of CNS"
"61616","1","Incision and excision of CNS"
"61712","1","Incision and excision of CNS"
"61713","1","Incision and excision of CNS"
"61714","1","Incision and excision of CNS"
"61715","1","Incision and excision of CNS"
"61716","1","Incision and excision of CNS"
"61717","1","Incision and excision of CNS"
"61718","1","Incision and excision of CNS"
"61719","1","Incision and excision of CNS"
"61720","1","Incision and excision of CNS"
"61721","1","Incision and excision of CNS"
"61722","1","Incision and excision of CNS"
"61723","1","Incision and excision of CNS"
"61724","1","Incision and excision of CNS"
"61725","1","Incision and excision of CNS"
"61726","1","Incision and excision of CNS"
"61727","1","Incision and excision of CNS"
"61728","1","Incision and excision of CNS"
"61729","1","Incision and excision of CNS"
"61730","1","Incision and excision of CNS"
"61731","1","Incision and excision of CNS"
"61732","1","Incision and excision of CNS"
"61733","1","Incision and excision of CNS"
"61734","1","Incision and excision of CNS"
"61735","1","Incision and excision of CNS"
"61880","1","Incision and excision of CNS"
"62161","1","Incision and excision of CNS"
"62162","1","Incision and excision of CNS"
"62163","1","Incision and excision of CNS"
"62164","1","Incision and excision of CNS"
"0169T","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"61107","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"61210","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62160","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62180","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62181","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62182","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62183","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62184","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62185","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62186","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62187","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62188","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62189","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62190","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62191","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62192","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62193","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62194","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62195","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62196","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62197","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62198","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62199","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62200","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62201","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62202","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62203","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62204","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62205","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62206","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62207","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62208","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62209","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62210","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62211","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62212","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62213","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62214","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62215","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62216","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62217","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62218","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62219","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62220","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62221","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62222","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62223","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62224","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62225","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62226","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62227","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62228","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62229","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62230","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62231","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62232","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62233","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62234","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62235","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62236","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62237","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62238","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62239","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62240","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62241","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62242","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62243","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62244","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62245","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62246","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62247","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62248","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62249","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62250","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62251","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62252","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62253","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62254","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62255","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62256","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62257","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"62258","2","Insertion, replacement, or removal of extracranial ventricular shunt"
"0202T","3","Laminectomy, excision intervertebral disc"
"0274T","3","Laminectomy, excision intervertebral disc"
"0275T","3","Laminectomy, excision intervertebral disc"
"22856","3","Laminectomy, excision intervertebral disc"
"22858","3","Laminectomy, excision intervertebral disc"
"22861","3","Laminectomy, excision intervertebral disc"
"22864","3","Laminectomy, excision intervertebral disc"
"61343","3","Laminectomy, excision intervertebral disc"
"62287","3","Laminectomy, excision intervertebral disc"
"62351","3","Laminectomy, excision intervertebral disc"
"62380","3","Laminectomy, excision intervertebral disc"
"62381","3","Laminectomy, excision intervertebral disc"
"62382","3","Laminectomy, excision intervertebral disc"
"62383","3","Laminectomy, excision intervertebral disc"
"62384","3","Laminectomy, excision intervertebral disc"
"62385","3","Laminectomy, excision intervertebral disc"
"62386","3","Laminectomy, excision intervertebral disc"
"62387","3","Laminectomy, excision intervertebral disc"
"62388","3","Laminectomy, excision intervertebral disc"
"62389","3","Laminectomy, excision intervertebral disc"
"62390","3","Laminectomy, excision intervertebral disc"
"62391","3","Laminectomy, excision intervertebral disc"
"62392","3","Laminectomy, excision intervertebral disc"
"62393","3","Laminectomy, excision intervertebral disc"
"62394","3","Laminectomy, excision intervertebral disc"
"62395","3","Laminectomy, excision intervertebral disc"
"62396","3","Laminectomy, excision intervertebral disc"
"62397","3","Laminectomy, excision intervertebral disc"
"62398","3","Laminectomy, excision intervertebral disc"
"62399","3","Laminectomy, excision intervertebral disc"
"62400","3","Laminectomy, excision intervertebral disc"
"62401","3","Laminectomy, excision intervertebral disc"
"62402","3","Laminectomy, excision intervertebral disc"
"62403","3","Laminectomy, excision intervertebral disc"
"62404","3","Laminectomy, excision intervertebral disc"
"62405","3","Laminectomy, excision intervertebral disc"
"62406","3","Laminectomy, excision intervertebral disc"
"62407","3","Laminectomy, excision intervertebral disc"
"62408","3","Laminectomy, excision intervertebral disc"
"62409","3","Laminectomy, excision intervertebral disc"
"62410","3","Laminectomy, excision intervertebral disc"
"62411","3","Laminectomy, excision intervertebral disc"
"62412","3","Laminectomy, excision intervertebral disc"
"62413","3","Laminectomy, excision intervertebral disc"
"62414","3","Laminectomy, excision intervertebral disc"
"62415","3","Laminectomy, excision intervertebral disc"
"62416","3","Laminectomy, excision intervertebral disc"
"62417","3","Laminectomy, excision intervertebral disc"
"62418","3","Laminectomy, excision intervertebral disc"
"62419","3","Laminectomy, excision intervertebral disc"
"62420","3","Laminectomy, excision intervertebral disc"
"62421","3","Laminectomy, excision intervertebral disc"
"62422","3","Laminectomy, excision intervertebral disc"
"62423","3","Laminectomy, excision intervertebral disc"
"62424","3","Laminectomy, excision intervertebral disc"
"62425","3","Laminectomy, excision intervertebral disc"
"62426","3","Laminectomy, excision intervertebral disc"
"62427","3","Laminectomy, excision intervertebral disc"
"62428","3","Laminectomy, excision intervertebral disc"
"62429","3","Laminectomy, excision intervertebral disc"
"62430","3","Laminectomy, excision intervertebral disc"
"62431","3","Laminectomy, excision intervertebral disc"
"62432","3","Laminectomy, excision intervertebral disc"
"62433","3","Laminectomy, excision intervertebral disc"
"62434","3","Laminectomy, excision intervertebral disc"
"62435","3","Laminectomy, excision intervertebral disc"
"62436","3","Laminectomy, excision intervertebral disc"
"62437","3","Laminectomy, excision intervertebral disc"
"62438","3","Laminectomy, excision intervertebral disc"
"62439","3","Laminectomy, excision intervertebral disc"
"62440","3","Laminectomy, excision intervertebral disc"
"62441","3","Laminectomy, excision intervertebral disc"
"62442","3","Laminectomy, excision intervertebral disc"
"62443","3","Laminectomy, excision intervertebral disc"
"62444","3","Laminectomy, excision intervertebral disc"
"62445","3","Laminectomy, excision intervertebral disc"
"62446","3","Laminectomy, excision intervertebral disc"
"62447","3","Laminectomy, excision intervertebral disc"
"62448","3","Laminectomy, excision intervertebral disc"
"62449","3","Laminectomy, excision intervertebral disc"
"62450","3","Laminectomy, excision intervertebral disc"
"62451","3","Laminectomy, excision intervertebral disc"
"62452","3","Laminectomy, excision intervertebral disc"
"62453","3","Laminectomy, excision intervertebral disc"
"62454","3","Laminectomy, excision intervertebral disc"
"62455","3","Laminectomy, excision intervertebral disc"
"62456","3","Laminectomy, excision intervertebral disc"
"62457","3","Laminectomy, excision intervertebral disc"
"62458","3","Laminectomy, excision intervertebral disc"
"62459","3","Laminectomy, excision intervertebral disc"
"62460","3","Laminectomy, excision intervertebral disc"
"62461","3","Laminectomy, excision intervertebral disc"
"62462","3","Laminectomy, excision intervertebral disc"
"62463","3","Laminectomy, excision intervertebral disc"
"62464","3","Laminectomy, excision intervertebral disc"
"62465","3","Laminectomy, excision intervertebral disc"
"62466","3","Laminectomy, excision intervertebral disc"
"62467","3","Laminectomy, excision intervertebral disc"
"62468","3","Laminectomy, excision intervertebral disc"
"62469","3","Laminectomy, excision intervertebral disc"
"62470","3","Laminectomy, excision intervertebral disc"
"62471","3","Laminectomy, excision intervertebral disc"
"62472","3","Laminectomy, excision intervertebral disc"
"62473","3","Laminectomy, excision intervertebral disc"
"62474","3","Laminectomy, excision intervertebral disc"
"62475","3","Laminectomy, excision intervertebral disc"
"62476","3","Laminectomy, excision intervertebral disc"
"62477","3","Laminectomy, excision intervertebral disc"
"62478","3","Laminectomy, excision intervertebral disc"
"62479","3","Laminectomy, excision intervertebral disc"
"62480","3","Laminectomy, excision intervertebral disc"
"62481","3","Laminectomy, excision intervertebral disc"
"62482","3","Laminectomy, excision intervertebral disc"
"62483","3","Laminectomy, excision intervertebral disc"
"62484","3","Laminectomy, excision intervertebral disc"
"62485","3","Laminectomy, excision intervertebral disc"
"62486","3","Laminectomy, excision intervertebral disc"
"62487","3","Laminectomy, excision intervertebral disc"
"62488","3","Laminectomy, excision intervertebral disc"
"62489","3","Laminectomy, excision intervertebral disc"
"62490","3","Laminectomy, excision intervertebral disc"
"62491","3","Laminectomy, excision intervertebral disc"
"62492","3","Laminectomy, excision intervertebral disc"
"62493","3","Laminectomy, excision intervertebral disc"
"62494","3","Laminectomy, excision intervertebral disc"
"62495","3","Laminectomy, excision intervertebral disc"
"62496","3","Laminectomy, excision intervertebral disc"
"62497","3","Laminectomy, excision intervertebral disc"
"62498","3","Laminectomy, excision intervertebral disc"
"62499","3","Laminectomy, excision intervertebral disc"
"62500","3","Laminectomy, excision intervertebral disc"
"62501","3","Laminectomy, excision intervertebral disc"
"62502","3","Laminectomy, excision intervertebral disc"
"62503","3","Laminectomy, excision intervertebral disc"
"62504","3","Laminectomy, excision intervertebral disc"
"62505","3","Laminectomy, excision intervertebral disc"
"62506","3","Laminectomy, excision intervertebral disc"
"62507","3","Laminectomy, excision intervertebral disc"
"62508","3","Laminectomy, excision intervertebral disc"
"62509","3","Laminectomy, excision intervertebral disc"
"62510","3","Laminectomy, excision intervertebral disc"
"62511","3","Laminectomy, excision intervertebral disc"
"62512","3","Laminectomy, excision intervertebral disc"
"62513","3","Laminectomy, excision intervertebral disc"
"62514","3","Laminectomy, excision intervertebral disc"
"62515","3","Laminectomy, excision intervertebral disc"
"62516","3","Laminectomy, excision intervertebral disc"
"62517","3","Laminectomy, excision intervertebral disc"
"62518","3","Laminectomy, excision intervertebral disc"
"62519","3","Laminectomy, excision intervertebral disc"
"62520","3","Laminectomy, excision intervertebral disc"
"62521","3","Laminectomy, excision intervertebral disc"
"62522","3","Laminectomy, excision intervertebral disc"
"62523","3","Laminectomy, excision intervertebral disc"
"62524","3","Laminectomy, excision intervertebral disc"
"62525","3","Laminectomy, excision intervertebral disc"
"62526","3","Laminectomy, excision intervertebral disc"
"62527","3","Laminectomy, excision intervertebral disc"
"62528","3","Laminectomy, excision intervertebral disc"
"62529","3","Laminectomy, excision intervertebral disc"
"62530","3","Laminectomy, excision intervertebral disc"
"62531","3","Laminectomy, excision intervertebral disc"
"62532","3","Laminectomy, excision intervertebral disc"
"62533","3","Laminectomy, excision intervertebral disc"
"62534","3","Laminectomy, excision intervertebral disc"
"62535","3","Laminectomy, excision intervertebral disc"
"62536","3","Laminectomy, excision intervertebral disc"
"62537","3","Laminectomy, excision intervertebral disc"
"62538","3","Laminectomy, excision intervertebral disc"
"62539","3","Laminectomy, excision intervertebral disc"
"62540","3","Laminectomy, excision intervertebral disc"
"62541","3","Laminectomy, excision intervertebral disc"
"62542","3","Laminectomy, excision intervertebral disc"
"62543","3","Laminectomy, excision intervertebral disc"
"62544","3","Laminectomy, excision intervertebral disc"
"62545","3","Laminectomy, excision intervertebral disc"
"62546","3","Laminectomy, excision intervertebral disc"
"62547","3","Laminectomy, excision intervertebral disc"
"62548","3","Laminectomy, excision intervertebral disc"
"62549","3","Laminectomy, excision intervertebral disc"
"62550","3","Laminectomy, excision intervertebral disc"
"62551","3","Laminectomy, excision intervertebral disc"
"62552","3","Laminectomy, excision intervertebral disc"
"62553","3","Laminectomy, excision intervertebral disc"
"62554","3","Laminectomy, excision intervertebral disc"
"62555","3","Laminectomy, excision intervertebral disc"
"62556","3","Laminectomy, excision intervertebral disc"
"62557","3","Laminectomy, excision intervertebral disc"
"62558","3","Laminectomy, excision intervertebral disc"
"62559","3","Laminectomy, excision intervertebral disc"
