Req #	Category	Request	Published Preliminary Decision	Meeting Decision
17.012	Drug & Biol	"Request to establish a new Level II HCPCS code to identify ocrelizumab; Trade name: OCREVUS.

Applicant's suggested language is : ""JXXXX - Injection, ocrelizumab, 1 mg""."	"Establish JXXXX, ""Injection, ocrelizumab, 1 mg"". "	"Establish J2350, ""Injection, ocrelizumab, 1 mg"". "
17.013	Drug & Biol	"Request to establish a new Level II HCPCS code to identify Immune Globulin Subcutaneous (Human) 20% Solution, Trade Name: CUVITRU.  

Applicant's suggested language:  JXXXX ""Injection, immune globulin (CUVITRU), 100 mg""."	"Establish JXXXX, ""Injection, Immune Globulin (CUVITRU), 100 mg"". "	"Establish J1555, ""Injection, Immune Globulin (CUVITRU), 100 mg"".  "
17.014	Drug & Biol	"Request to establish a new Level II HCPCS code to identify bezlotoxumab; Trade name ZINPLAVA.

Applicant's suggested language: JXXXX -"" Injection, bezlotoxumab, 10 mg""."	"Establish JXXXX, ""Injection, Bezlotoxumab, 10 mg."	"Establish J0565, ""Injection, Bezlotoxumab, 10 mg."
17.015	Drug & Biol	"Request to establish a new Level II HCPCS code to identify a new human placental membrane tissue comprised of both amnion and chorion allograft, Trade Name: NeoPatch Chorioamniotic Membrane Allograft.

Applicant's suggested language: QXXXX ""NeoPatch, per sq cm""."	"Establish QXXXX, ""NeoPatch, per sq centimeter"". "	"Establish Q4176, ""NeoPatch, per sq centimeter"". "
17.017	Drug & Biol	"Request to revise existing Level II HCPCS code Q4162, which currently reads, ""AmnioPro Flow, Bioskin Flow, BioRenew Flow, Woundex Flow, AmnioGen-A, AmnioGen-C, 0.5 cc"", to omit discontinued products AmnioGen-A, AmnioGen-C, BioRenew Flow, and AmnioPro Flow.

Applicant's suggested language: Q4162, ""WoundEx Flow, BioSkin Flow, 0.5 cc""."	"Revise existing code Q4162, which currently reads, ""Amniopro flow, bioskin flow, biorenew flow, woundex flow, amniogen-a, amniogen-c, 0.5 cc"", to instead read, ""WoundEx Flow, BioSkin Flow, 0.5 cc"". "	"Revise existing code Q4162, which currently reads, ""Amniopro flow, bioskin flow, biorenew flow, woundex flow, amniogen-a, amniogen-c, 0.5 cc"", to instead read, ""WoundEx Flow, BioSkin Flow, 0.5 cc"". "
17.018	Drug & Biol	"Request to revise existing HCPCS Level II code Q4163, which currently reads: ""Amniopro, bioskin, biorenew, woundex, AmnioGen-45, amniogen-200, per square centimeter"", to omit discontinued brand names: AmnioGen-45, AmnioGen-200, BioRenew and AmnioPro.

Applicant's suggested language: Q4163 ""WoundEx, Bioskin per square centimeter""."	"Revise existing code Q4163, which currently reads, ""Amniopro, bioskin, biorenew, woundex, amniogen-45, amniogen-200, per square centimeter"", to instead read, ""WoundEx, BioSkin, per square centimeter""."	"Revise existing code Q4163, which currently reads, ""Amniopro, bioskin, biorenew, woundex, amniogen-45, amniogen-200, per square centimeter"", to instead read, ""WoundEx, BioSkin, per square centimeter""."
17.020	Drug & Biol	"Request to establish a new Level II HCPCS code to identify riboflavin 5'-phosphate in 20% dextran ophthalmic solution, Trade Names: Photrexa, Viscous/Photrexa.

Applicant’s suggested language: JXXXX, ""Riboflavin 5’-phosphate, with or without dextran, ophthalmic solution, FDA-approved final product, non-compounded, up to two 3 mL syringes, single patient use""."	"This request to establish a new Level II HCPCS code to separately identify Photrexa has not been approved, because this product is an integral part of a procedure and payment for that service includes payment for Photrexa, if it is used."	"This request to establish a new Level II HCPCS code to separately identify Photrexa has not been approved, because this product is an integral part of a procedure and payment for that service includes payment for Photrexa, if it is used."
17.023	Drug & Biol	"Request to establish a new Level II HCPCS code to identify atezolizumab, Trade Name: TECENTRIQ.

Applicant's suggested language: “Injection, atezolizumab, 10 mg”"	"Establish JXXXX, ""Injection, Atezolizumab, 10 mg"". "	"Establish J9022, ""Injection, Atezolizumab, 10 mg"". "
17.024	Drug & Biol	"Request to establish a new Level II HCPCS code to identify granisetron extended-release injection, for subcutaneous use; Trade Name: Sustol®.

Applicant's suggested language: JXXXX, ""Injection, granisetron extended-release, for subcutaneous use (SUSTOL), 1 mg."""	"Establish JXXXX, ""Injection, Granisetron, Extended-Release, 0.1 mg"". "	"Establish J1627, ""Injection, Granisetron, Extended-Release, 0.1 mg"". "
17.025	Drug & Biol	"Request to revise the dose descriptor of existing HCPCS code A9587 which currently reads: ""Gallium Ga-68, dotatate, diagnostic, 0.1 mCi""; to instead read: ""A9587, Gallium Ga-68, dotatate, diagnostic, to per study dose, up to 5.4 mCi""."	"This request to revise the descriptor of existing code A9587 has not been approved. The requested change does not improve the code. The existing descriptor of A9587, which reads, ""Gallium ga-68, dotatate, diagnostic, 0.1 millicurie"", adequately describes the product that is the subject of this request and is available for assignment by insurers if they deem appropriate."	"This request to revise the descriptor of existing code A9587 has not been approved. The requested change does not improve the code. The existing descriptor of A9587, which reads, ""Gallium ga-68, dotatate, diagnostic, 0.1 millicurie"", adequately describes the product that is the subject of this request and is available for assignment by insurers if they deem appropriate."
17.026	Drug & Biol	"Request to establish a new Level II HCPCS code to identify acellular liquid amnion, Trade Name: FlowerFlo™.

Applicant’s suggested language: QXXXX, ""FlowerFlo™ injectable, per cc.""
"	"Establish QXXXX, ""FlowerFlo, 0.1 cc"". "	"Establish Q4177, ""FlowerAmnioFlo, 0.1 cc"". "
17.027	Drug & Biol	"Request to establish a new Level II HCPCS code to identify a dehydrated amniotic membrane allograft, Trade Name: FlowerPatch™.

Applicant’s suggested language: QXXXX ""FlowerPatch™, per sq cm"". "	"Establish QXXXX, ""FlowerPatch, per sq centimeter"". "	"Establish Q4178, ""FlowerAmnioPatch, per sq centimeter"". 

 "
17.028	Drug & Biol	"Request to establish a new Level II HCPCS code to identify eteplirsen injection, Trade Name: EXONDYS 51™.

Applicant’s suggested language: JXXXX, EXONDYS 51™ (eteplirsen) injection, for intravenous use, per 1 mg.
"	"Establish JXXXX, ""Injection, Eteplirsen, 10 mg"". "	"Establish J1428, ""Injection, Eteplirsen, 10 mg"". "
17.029	Drug & Biol	"Request to establish a new HCPCS code to identify recombinant FACTOR VIII blood clotting factor; Trade Name: AFSTYLA.

Applicant's suggested language: J7XXX-Injection, Factor VIII single chain (Recombinant), per IU."	"Establish JXXXX, ""Injection, factor viii (antihemophilic factor, recombinant), (afstyla), 1 i.u."". "	"Establish J7210, ""Injection, factor viii, (antihemophilic factor, recombinant), (afstyla), 1 i.u.""."
17.030	Drug & Biol	"Request to establish a new Level II HCPCS code to identify an Antihemophilic Factor, (Recombinant), Trade Name: KOVALTRY.

Applicant's suggested language: "" JXXXX Antihemophilic Factor (Recombinant), per IU""."	"Establish JXXXX, ""injection, factor viii, (Antihemophilic Factor, recombinant), (kovaltry), 1 i.u."". "	"Establish J7211, ""injection, factor viii, (Antihemophilic Factor, recombinant), (kovaltry), 1 i.u."". "
17.032	Drug & Biol	"Request to establish a new Level II HCPCS code to identify a hydrated acellular (human) dermal allograft matrix, Trade Name: FlowerDerm

Applicant’s suggested language: QXXXX ""FlowerDerm™, per sq cm""."	"Establish QXXXX, ""FlowerDerm, per sq centimeter"". "	"Establish Q4179, ""FlowerDerm, per sq centimeter"". "
17.033	Drug & Biol	"Request to establish a new Level II HCPCS code to identify aminolevulinic acid hydrochloride, Trade Name: Ameluz.

Applicant's suggested language: ""Ameluz (aminolevulinic acid hydrochloride) gel, 10%, for topical use”.
"	"Establish JXXXX, ""Aminolevulinic Acid HCL For Topical Administration, 10%, 1 mg"". "	"Establish J7345, ""Aminolevulinic Acid HCL For Topical Administration 10% gel, 10 mg"". "
17.034	Drug & Biol	"Request to revise existing Leve II HCPCS code Q4133, which currently reads: “Grafix Prime, per square centimeter,” to add another configuration of Grafix Prime: Grafix PL Prime.

Applicant's suggested language: Q4133, ""Grafix PRIME and GrafixPL PRIME: per square centimeter."	"Revise existing code Q4133, which currently reads, ""Grafix prime, per square centimeter"", to instead read, ""Grafix prime and Grafixpl prime, per square centimeter."" "	"Revise existing code Q4133, which currently reads, ""Grafix prime, per square centimeter"", to instead read, ""Grafix prime and Grafixpl prime, per square centimeter."" "
17.038	Drug & Biol	"Request to discontinue existing Level II HCPCS code J7321 which currently reads: ""Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose"", and replace it with 2 new codes; one each to identify Hyalgan and Supartz, with their respective (and different) dose descriptors. 

Applicant’s suggested language: JXXX1 Hyaluronan or derivative, Hyalgan®, for intra-articular injection, per 20 mg dose.

Applicant’s suggested language: JXXX2 Hyaluronan or derivative, Hyalgan®, for intra-articular injection, per 25 mg dose."	"This request to establish a new Level II HCPCS code to separately identify Hyalgan has not been approved. Existing code J7321 ""Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose"" adequately describes Hyalgan and is available for assignment by insurers if they deem appropriate."	"This request to discontinue existing level II HCPCS code J7321 which currently reads: ""Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose"", and replace it with two new codes; one each to identify Hyalgan, 20 mg and Supartz, 20 mg has not been approved. Code J7321 ""Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose"", as revised effective 1/1/2018 to read ""Hyaluronan or derivative, hyalgan, Supartz or VISCO-3 for intra-articular injection, per dose"" adequately describes the products of this request, and is available for assignment by insurers if they deem appropriate."
17.039	Drug & Biol	"Request to establish a new Level II HCPCS code to identify a terminally sterilized, dehydrated human placental allograft, Trade Name: Revita

Applicant’s suggested language: QXXXX, ""Revita, per square centimeter""."	"Establish QXXXX, ""Revita, per square centimeter"". "	"Establish Q4180, ""Revita, per square centimeter"". "
17.042	Drug & Biol	"Repeat request to establish a new Level II HCPCS code to identify lyophilized, terminally sterilized amniotic fluid, Trade Name: OrthoFlo.

Applicant's suggested language: QXXXX, ""OrthoFlo, (terminally sterilized lyophilized amniotic fluid) per mL""."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new HCPCS code to identify OrthoFlo. For coding guidance, contact the individual insurance contractor in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual insurance contractor. For Medicare, contact the Medicare contractor."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new HCPCS code to identify OrthoFlo. For coding guidance, contact the individual insurance contractor in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual insurance contractor. For Medicare, contact the Medicare contractor."
17.043	Drug & Biol	"Request to revise existing HCPCS code S1090.

Applicant's suggested language: Revise existing S code S1090, which currently reads, “Mometasone furoate sinus implant, 370 micrograms”, to instead be a J code and read, “Mometasone furoate sinus implant”."	"Existing code S1090 ""Mometasone Furoate Sinus Implant, 370 Micrograms"" adequately describes the product that is the subject of this request. Existing code C2625 ""Stent, non-coronary, temporary, with delivery system"" is available for use for procedures performed in HOPPS and ASC."	"Existing codes S1090 ""Mometasone Furoate Sinus Implant, 370 Micrograms"" and C2625 ""Stent, Non-Coronary Temporary, With Delivery System"" adequately describe the products that are the subject of this request, and are available for assignment by insurers."
17.044	Drug & Biol	"Request to revise existing Level II HCPCS code Q4132, which currently reads, ""Grafix CORE, per square centimeter"", to add another configuration of Grafix CORE, Trade Name: GrafixPL CORE.

Applicant's suggested language: Q4132, ""Grafix CORE and GrafixPL CORE, per square centimeter""."	"Revise existing code Q4132, which currently reads, ""Grafix core, per square centimeter"", to instead read ""Grafix CORE and GrafixPL CORE, per square centimeter."" "	"Revise existing code Q4132, which currently reads, ""Grafix core, per square centimeter"", to instead read ""Grafix CORE and GrafixPL CORE, per square centimeter."""
17.046	Drug & Biol	"Request to establish a new Level II HCPCS code to identify Optiray 350 ioversol injection 74%, Optiray 320 ioversol injection 68% and Optiray 300 ioversol injection 64%; Trade Name: Optiray™ Ultraject™ provided in a Prefilled Syringe®.

Applicant’s suggested language: “JXXXX ""ioversol injection pre-filled syringe"""	"This request to establish a new Level II HCPCS code to separately identify the Optiray Ultraject Prefilled Syringe has not been approved. A separate code is not necessary to describe ioversol in a pre-filled syringe. Existing code Q9967 ""Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml"" adequately describes Optiray 300, Optiray 320, and Optiray 350; and it is available for assignment by insurers if they deem appropriate. Existing code Q9966 ""Low osmolar contrast material, 200-299 mg/mL iodine concentration, per mL"" adequately describes Optiray 240 and is available for assignment by insurers if they deem appropriate. Separate reporting of the syringe for additional payment may be considered redundant and inappropriate."	"This request to establish a new Level II HCPCS code to separately identify the Optiray Ultraject Prefilled Syringe has not been approved. A separate code is not necessary to describe ioversol in a pre-filled syringe. Existing code Q9967 ""Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml"" adequately describes Optiray 300, Optiray 320, and Optiray 350; and it is available for assignment by insurers if they deem appropriate. Existing code Q9966 ""Low osmolar contrast material, 200-299 mg/mL iodine concentration, per mL"" adequately describes Optiray 240 and is available for assignment by insurers if they deem appropriate. Separate reporting of the syringe for additional payment may be considered redundant and inappropriate."
17.047	Drug & Biol	"Request to establish a new level II HCPCS code to identify olaratumab injection for intravenous use, Trade Name: LARTRUVO. 

Applicant's suggested language: JXXXX, ""injection, olaratumab, 1mg"".
"	"Establish JXXXX, ""Injection, Olaratumab, 10 mg"". "	"Establish J9285, ""Injection, Olaratumab, 10 mg""."
17.048	Drug & Biol	"Request to establish a single new Level II HCPCS code to identify two porcine-derived extracellular matrices also known as urinary bladder matrix (UBM), Trade Names: Cytal3L and Cytal6L.

Applicant's suggested language: QXXXX ""Cytal 3-Layer/6 Layer, per square centimeter."""	"This request to establish a new Level II HCPCS code to separately identify Cytal Wound Matrix 3-Layer (Cytal3L) and Cytal Wound Matrix 6-Layer (Cytal6L) has not been approved. Existing code Q4166 ""Cytal, per square centimeter"" adequately describes these products and is available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify Cytal Wound Matrix 3-Layer (Cytal3L) and Cytal Wound Matrix 6-Layer (Cytal6L) has not been approved. Existing code Q4166 ""Cytal, per square centimeter"" adequately describes these products and is available for assignment by insurers if they deem appropriate."
17.049	Drug & Biol	"Request to establish a new Level II HCPCS codes to identify a hydrogel wound dressing containing 4% Lidocaine Hydrochloride, Trade Name:Astero. Astero.

Applicant's suggested language:

1. JXXXX, Hydrogel wound dressing containing 4% Lidocaine Hydrochloride. Per 1 metered dose.

2. AXXXX, Hydrogel wound dressing containing 4% Lidocaine Hydrochloride. Per 1 metered dose."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new HCPCS code to identify Astero. For coding guidance, contact the individual insurance contractor in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual insurance contractor. For Medicare, contact the Medicare contractor."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new HCPCS code to identify Astero. For coding guidance, contact the individual insurance contractor in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual insurance contractor. For Medicare, contact the Medicare contractor."
17.050	Drug & Biol	"Request to revise the existing Level II HCPCS code Q4158, which currently reads “Marigen, per square centimeter” to  instead read, “Kerecis Omega3, per square centimeter”."	"Revise existing code Q4158, which currently reads, ""Marigen, per square centimeter,"" to instead read, ""Kerecis Omega3, per square centimeter"".."	"Revise existing code Q4158, which currently reads, ""Marigen, per square centimeter,"" to instead read, ""Kerecis Omega3, per square centimeter""."
17.051	Drug & Biol	"Request to establish a new Level II HCPCS code to identify the Visco-3, a new intra-articular hyaluronic acid injectable product. Trade Name: VISCO-3.

Applicant’s suggested language: JXXXX Hyaluronan or derivative, VISCO-3, for intra-articular injection, per mg"	"Revise existing HCPCS code J7321, which currently reads, ""Hyaluronan or derivative, Hyalgan or Supartz, for intra-articular injection, per dose"", to instead read, ""Hyaluronan or derivative, Hyalgan, Supartz or VISCO-3, for intra-articular injection, per dose"".  Revised code J7321 adequately describes VISCO-3. Use of code J3490 to report VISCO-3 is not appropriate unless specifically assigned in insurer policy."	"Revise existing HCPCS code J7321, which currently reads, ""Hyaluronan or derivative, Hyalgan or Supartz, for intra-articular injection, per dose"", to instead read, ""Hyaluronan or derivative, Hyalgan, Supartz or VISCO-3, for intra-articular injection, per dose"".  Revised code J7321 adequately describes VISCO-3. Use of code J3490 to report VISCO-3 is not appropriate unless specifically assigned in insurer policy."
17.053	Drug & Biol	"Request to establish a new level II HCPCS code to identify a multi-layer lyophilized human amniotic membrane allograft, Trade Name: Amnio Wound.

Applicant’s suggested language: QXXXX, ""Amnio Wound, per square centimeter""."	"Establish QXXXX, ""Amnio wound, per square centimeter""."	"Establish Q4181, ""Amnio wound, per square centimeter"". "
17.054	Drug & Biol	"Request to revise existing Level II HCPCS code Q4148, which currently reads, ""Neox 1K, per square centimeter"", to add NEOX CORD RT and CLARIX CORD 1K, and also to add the word ""CORD"" to NEOX 1K.

Applicant's suggested language: Q4148 ""NEOX CORD 1K, NEOX CORD RT, or CLARIX CORD 1K, per square centimeter"".
"	"Revise existing code Q4148, which currently reads, ""NEOX 1k, per square centimeter"", to instead read, ""NEOX CORD 1K, NEOX CORD RT, or CLARIX CORD 1K, per square centimeter"". "	"Revise existing code Q4148, which currently reads, ""NEOX 1k, per square centimeter"", to instead read, ""NEOX CORD 1K, NEOX CORD RT, or CLARIX CORD 1K, per square centimeter""."
17.056	Drug & Biol	"Request to establish a new Level II HCPCS code to identify etelcalcetide for IV administration, Trade Name: Parsabiv.

Applicant's suggested language: JXXXX, ""Injection, etelcalcetide, per 2.5 mg"".
"	"Establish JXXXX, ""Injection, etelcalcetide, 0.1 mg""."	"Establish J0606, Injection, etelcalcetide, 0.1 mg

 "
17.057	Drug & Biol	"Request to establish a new Level II HCPCS code to identify cinacalcet, Trade Name: Sensipar.

Applicant's suggested language: JXXXX, ""Cinacalcet, oral, 30 mg""."	"Establish JXXXX, ""cinacalcet, oral, 1 mg, (for ESRD on dialysis)""."	"Establish J0604, ""cinacalcet, oral, 1 mg, (for ESRD on dialysis)""."
17.058	Drug & Biol	"Request to establish a new level II HCPCS code to identify phenylephrine and ketorolac injection 1%/0.3%, Trade Name: Omidria.

Applicant's suggested language: JXXXX, ""injection, phenylephrine and ketorolac 1%/0.3% 4-mL vial""."	"A national program operating need to establish a new code for Omidria was not identified by Medicare, Medicaid, or the Private Insurance Sector. Existing code C9447 ""Injection, Phenylephrine and ketorolac, 4 mL vial"" is available for assignment by insurers if they deem appropriate, to report use of Omidria in a hospital outpatient setting."	"A national program operating need to establish a new code for Omidria was not identified by Medicare, Medicaid, or the Private Insurance Sector. Existing code C9447 ""Injection, Phenylephrine and ketorolac, 4 mL vial"" is available for assignment by insurers if they deem appropriate, to report use of Omidria in a hospital outpatient setting or ASC."
17.059	Drug & Biol	"Request to revise existing Level II HCPCS code Q4156 to include a cryopreserved, human amniotic membrane graft, Trade Name: CLARIX 100.

Applicant's suggested language: revise existing HCPCS code Q4156 which currently reads Q4156 ""NEOX 100, per square centimeter,"" to instead read ""NEOX 100 or CLARIX 100, per square centimeter"".

 "	"Revise existing code Q4156, which currently reads, ""NEOX 100, per square centimeter,"" to instead read, ""NEOX 100 or CLARIX 100, per square centimeter"". "	"Revise existing code Q4156, which currently reads, ""NEOX 100, per square centimeter,"" to instead read, ""NEOX 100 or CLARIX 100, per square centimeter"". "
17.060	Drug & Biol	"Request to establish a new Level II HCPCS code to identify avelumab, Trade Name: BAVENCIO.

Applicant's suggested language, ""JXXXX, Injection, avelumab, 10 mg""."	"Establish JXXXX, ""Injection, Avelumab, 10 mg"". "	"Establish J9023, ""Injection, Avelumab, 10 mg""."
